input,inside_grid,outside_grid,output,removed,removed_inside_grid_by_3sigma,occupied_pixels,zero_count_pixels,input_primary,output_primary,run_id,retained_fraction
87510,66989,20521,64488,23022,2501,250,0,87510,64488,286,0.7369214946863215
87990,67338,20652,64835,23155,2503,250,0,87990,64835,287,0.7368450960336402
87393,66944,20449,64381,23012,2563,250,0,87393,64381,288,0.7366837160871008
88060,67521,20539,65020,23040,2501,250,0,88060,65020,289,0.7383602089484442
88031,67395,20636,64907,23124,2488,250,0,88031,64907,290,0.7373198077949813
87548,66897,20651,64384,23164,2513,250,0,87548,64384,291,0.7354137159044182
87470,66950,20520,64478,22992,2472,250,0,87470,64478,292,0.7371441637132731
87529,67178,20351,64677,22852,2501,250,0,87529,64677,293,0.7389208148156611
88017,67195,20822,64682,23335,2513,250,0,88017,64682,294,0.7348807616710408
87744,67358,20386,64825,22919,2533,250,0,87744,64825,295,0.7387969547775346
87856,67292,20564,64701,23155,2591,250,0,87856,64701,296,0.7364437260972501
87232,66903,20329,64336,22896,2567,250,0,87232,64336,297,0.737527512839325
88070,67430,20640,64846,23224,2584,250,0,88070,64846,298,0.7363006699216532
87565,67323,20242,64795,22770,2528,250,0,87565,64795,299,0.7399645977274025
88077,67565,20512,65028,23049,2537,250,0,88077,65028,300,0.7383085254947376
88243,67653,20590,65147,23096,2506,250,0,88243,65147,301,0.7382681912446313
87683,67072,20611,64587,23096,2485,250,0,87683,64587,302,0.7365966036746006
87453,66830,20623,64321,23132,2509,250,0,87453,64321,303,0.7354922072427476
87208,66886,20322,64374,22834,2512,250,0,87208,64374,304,0.7381662232822677
87268,66884,20384,64433,22835,2451,250,0,87268,64433,305,0.7383347848008434
88382,67632,20750,65087,23295,2545,250,0,88382,65087,306,0.7364282319929397
87925,67164,20761,64684,23241,2480,250,0,87925,64684,307,0.735672448109184
88036,67334,20702,64690,23346,2644,250,0,88036,64690,308,0.7348130310327593
87342,66931,20411,64551,22791,2380,250,0,87342,64551,309,0.7390602459297932
87577,67182,20395,64808,22769,2374,250,0,87577,64808,310,0.7400116468935908
87955,67236,20719,64703,23252,2533,250,0,87955,64703,311,0.735637541924848
87861,67221,20640,64780,23081,2441,250,0,87861,64780,312,0.7373009640227177
87852,67185,20667,64710,23142,2475,250,0,87852,64710,313,0.7365797022264718
87980,67576,20404,65011,22969,2565,250,0,87980,65011,314,0.7389293021141169
87651,67085,20566,64632,23019,2453,250,0,87651,64632,315,0.7373789232296266
87758,67036,20722,64542,23216,2494,250,0,87758,64542,316,0.7354543175550947
88014,67620,20394,65072,22942,2548,250,0,88014,65072,317,0.7393369236712342
87480,67298,20182,64782,22698,2516,250,0,87480,64782,318,0.7405349794238684
87884,67248,20636,64707,23177,2541,250,0,87884,64707,319,0.736277365618315
88122,67426,20696,64945,23177,2481,250,0,88122,64945,320,0.7369896280157054
87760,67248,20512,64748,23012,2500,250,0,87760,64748,321,0.7377848678213309
88105,67578,20527,65074,23031,2504,250,0,88105,65074,322,0.7385959934169457
87410,67127,20283,64726,22684,2401,250,0,87410,64726,323,0.7404873584258094
87841,67100,20741,64726,23115,2374,250,0,87841,64726,324,0.7368540886374244
87892,67193,20699,64644,23248,2549,250,0,87892,64644,325,0.7354935602785236
87757,67089,20668,64645,23112,2444,250,0,87757,64645,326,0.7366363936779972
87429,66922,20507,64428,23001,2494,250,0,87429,64428,327,0.736917956284528
88023,67312,20711,64858,23165,2454,250,0,88023,64858,328,0.7368301466662123
87689,67229,20460,64764,22925,2465,250,0,87689,64764,329,0.7385647002474655
88063,67472,20591,64945,23118,2527,250,0,88063,64945,330,0.7374833925712274
87348,66770,20578,64271,23077,2499,250,0,87348,64271,331,0.7358039107936072
88385,67553,20832,65027,23358,2526,250,0,88385,65027,332,0.735724387622334
87454,67042,20412,64536,22918,2506,250,0,87454,64536,333,0.7379422324879366
87557,66702,20855,64250,23307,2452,250,0,87557,64250,334,0.7338076909898694
88091,67529,20562,65016,23075,2513,250,0,88091,65016,335,0.7380549658875482
88010,67327,20683,64777,23233,2550,250,0,88010,64777,336,0.7360186342461084
87446,67001,20445,64518,22928,2483,250,0,87446,64518,337,0.737803901836562
87313,66884,20429,64380,22933,2504,250,0,87313,64380,338,0.7373472449692485
88083,67389,20694,64850,23233,2539,250,0,88083,64850,339,0.7362374124405391
87935,67094,20841,64607,23328,2487,250,0,87935,64607,340,0.7347131403877865
87272,66758,20514,64170,23102,2588,250,0,87272,64170,341,0.7352873773948116
87450,66854,20596,64371,23079,2483,250,0,87450,64371,342,0.7360891938250429
87531,67296,20235,64820,22711,2476,250,0,87531,64820,343,0.7405376380939325
87900,67461,20439,64916,22984,2545,250,0,87900,64916,344,0.7385210466439135
87548,67060,20488,64539,23009,2521,250,0,87548,64539,345,0.7371841732535295
