variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,58.625,1.0140105256379046,0.017866702882044724,9060,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,58.875,1.014087858594821,0.017340608114911442,9416,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,59.125,1.0130259537405066,0.017621845749882643,9152,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,59.375,1.012938208884365,0.017199638679283473,9424,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,59.625,1.0135668139156462,0.01754499841672781,9260,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,59.875,1.013600738067024,0.017962604375717037,9552,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,60.125,1.0131295182596136,0.018458011584447865,9336,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,60.375,1.0135861969148248,0.017842368789436645,9592,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,60.625,1.0140450614515621,0.017405841336182618,9392,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,60.875,1.0138373888933545,0.017031951476081733,9676,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,61.125,1.0132796491332283,0.017973255493146097,9496,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,61.375,1.012719474904718,0.018419070452666195,9712,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,61.625,1.0130768836943118,0.017571398316893312,9632,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,61.875,1.0141197751392372,0.01786264775361197,9780,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,62.125,1.0144581318773815,0.01772690259815812,9704,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,62.375,1.0143850271194375,0.018103860913317484,9848,vacuum,corrected,210.0,0.0
